product_id,size_id,price
186,2,6.4
186,3,6.4
186,4,6.4
186,5,6.4
186,6,6.4
186,7,6.4
186,8,6.4
186,9,6.4
187,2,11.74
187,3,11.74
187,4,11.74
187,5,11.74
187,6,11.74
187,7,11.74
188,8,22.90
189,2,22.90
189,3,22.90
189,4,22.90
189,5,22.90
189,6,22.90
189,7,22.90
190,26,6.89
191,26,10.98
194,1,19.98
194,2,19.98
194,3,19.98
194,4,19.98
194,5,19.98
194,6,19.98
194,7,19.98
194,8,19.98
212,7,0.00
213,1,11.94
213,2,11.94
213,3,11.94
213,4,11.94
221,2,22.98
221,3,22.98
221,4,22.98
221,5,22.98
221,6,22.98
221,7,22.98
221,8,22.98
221,9,22.98
221,10,22.98
226,2,43.08
226,3,43.08
226,4,43.08
226,5,43.08
226,6,43.08
226,7,43.08
227,1,109.98
227,2,109.98
227,3,109.98
227,4,109.98
227,5,109.98
227,6,109.98
227,7,109.98
227,8,109.98
232,1,21.98
232,2,21.98
232,3,21.98
232,4,21.98
232,5,21.98
232,6,21.98
232,7,21.98
232,8,21.98
240,1,55.98
240,2,55.98
240,3,55.98
240,4,55.98
240,5,55.98
240,6,55.98
240,7,55.98
240,8,55.98
242,1,24.98
242,2,24.98
242,3,24.98
242,4,24.98
242,5,24.98
242,6,24.98
242,7,24.98
242,8,24.98
242,9,24.98
247,1,33.98
247,2,33.98
247,3,33.98
247,4,33.98
247,5,33.98
247,6,33.98
247,7,33.98
247,8,33.98
247,10,33.98
248,1,27.98
248,2,27.98
248,3,27.98
248,4,27.98
248,5,27.98
248,6,27.98
248,7,27.98
248,8,27.98
248,9,27.98
248,10,27.98
254,1,57.10
254,2,57.10
254,3,57.10
254,4,57.10
254,5,57.10
254,6,57.10
254,7,57.10
256,1,39.98
256,2,39.98
256,3,39.98
256,4,39.98
256,5,39.98
256,6,39.98
256,7,39.98
256,8,39.98
256,10,39.98
256,11,39.98
257,1,33.98
257,2,33.98
257,3,33.98
257,4,33.98
257,5,33.98
257,6,33.98
257,7,33.98
257,8,33.98
260,1,9.98
260,2,9.98
260,3,9.98
260,4,9.98
260,5,9.98
260,6,9.98
260,7,9.98
260,8,9.98
265,1,83.62
265,2,83.62
265,3,83.62
265,4,83.62
265,5,83.62
265,6,83.62
265,7,83.62
268,2,33.98
268,3,33.98
268,4,33.98
268,5,33.98
268,6,33.98
270,1,9.98
270,2,9.98
270,3,9.98
270,4,9.98
270,5,9.98
270,6,9.98
270,7,9.98
270,8,9.98
285,1,11.98
285,2,11.98
285,3,11.98
285,4,11.98
285,5,11.98
285,6,11.98
285,7,11.98
285,8,11.98
292,1,22.98
292,2,22.98
292,3,22.98
292,4,22.98
292,5,22.98
292,6,22.98
292,7,22.98
292,8,22.98
297,1,39.98
297,2,39.98
297,3,39.98
297,4,39.98
297,5,39.98
297,6,39.98
297,7,39.98
297,8,39.98
298,1,32.98
298,2,32.98
298,3,32.98
298,4,32.98
298,5,32.98
298,6,32.98
298,7,32.98
298,8,32.98
300,1,59.98
300,2,59.98
300,3,59.98
300,4,59.98
300,5,59.98
300,6,59.98
300,7,59.98
300,8,59.98
300,9,59.98
300,10,59.98
347,1,13.98
347,2,13.98
347,3,13.98
347,4,13.98
347,5,13.98
347,6,13.98
347,7,13.98
347,8,13.98
347,9,13.98
347,10,13.98
349,1,18.98
349,2,18.98
349,3,18.98
349,4,18.98
349,5,18.98
349,6,18.98
349,7,18.98
349,8,18.98
350,1,17.98
350,2,17.98
350,3,17.98
350,4,17.98
350,5,17.98
350,6,17.98
350,7,17.98
350,8,17.98
350,9,17.98
350,10,17.98
364,1,28.98
364,2,28.98
364,3,28.98
364,4,28.98
364,5,28.98
364,6,28.98
364,7,28.98
364,8,28.98
364,9,28.98
364,10,28.98
365,1,15.18
365,2,15.18
365,3,15.18
365,4,15.18
365,5,15.18
365,6,15.18
365,7,15.18
365,8,15.18
365,9,15.18
365,10,15.18
368,1,22.98
368,2,22.98
368,3,22.98
368,4,22.98
368,5,22.98
368,6,22.98
368,7,22.98
368,8,22.98
368,9,22.98
368,10,22.98
369,15,12.30
369,16,12.30
369,17,12.30
369,18,12.30
369,19,12.30
370,1,9.28
370,2,9.28
370,3,9.28
370,4,9.28
370,5,9.28
371,1,41.98
371,2,41.98
371,3,41.98
371,4,41.98
371,5,41.98
371,6,41.98
371,7,41.98
371,8,41.98
372,1,27.58
372,2,27.58
372,3,27.58
372,4,27.58
372,5,27.58
372,6,27.58
372,7,27.58
372,8,27.58
373,1,26.98
373,2,26.98
373,3,26.98
373,4,26.98
373,5,26.98
373,6,26.98
373,7,26.98
373,8,26.98
374,1,27.98
374,2,27.98
374,3,27.98
374,4,27.98
374,5,27.98
374,6,27.98
374,7,27.98
374,8,27.98
375,1,59.98
375,2,59.98
375,3,59.98
375,4,59.98
375,5,59.98
375,6,59.98
375,7,59.98
375,8,59.98
376,1,41.98
376,2,41.98
376,3,41.98
376,4,41.98
376,5,41.98
376,6,41.98
376,7,41.98
376,8,41.98
377,1,24.98
377,2,24.98
377,3,24.98
377,4,24.98
377,5,24.98
377,6,24.98
377,7,24.98
377,8,24.98
378,1,23.98
378,2,23.98
378,3,23.98
378,4,23.98
378,5,23.98
378,6,23.98
378,7,23.98
378,8,23.98
379,1,22.98
379,2,22.98
379,3,22.98
379,4,22.98
379,5,22.98
379,6,22.98
379,7,22.98
379,8,22.98
380,1,17.98
380,2,17.98
380,3,17.98
380,4,17.98
380,5,17.98
380,6,17.98
380,7,17.98
380,8,17.98
380,9,17.98
380,10,17.98
381,1,22.42
381,2,22.42
381,3,22.42
381,4,22.42
381,5,22.42
381,6,22.42
381,7,22.42
381,8,22.42
382,1,34.98
382,2,34.98
382,3,34.98
382,4,34.98
382,5,34.98
382,6,34.98
382,7,34.98
382,8,34.98
383,1,22.42
383,2,22.42
383,3,22.42
383,4,22.42
383,5,22.42
383,6,22.42
383,7,22.42
383,8,22.42
384,1,24.98
384,2,24.98
384,3,24.98
384,4,24.98
384,5,24.98
384,6,24.98
384,7,24.98
384,8,24.98
385,1,24.98
385,2,24.98
385,3,24.98
385,4,24.98
385,5,24.98
385,6,24.98
385,7,24.98
385,8,24.98
385,9,24.98
385,10,24.98
386,1,21.98
386,2,21.98
386,3,21.98
386,4,21.98
386,5,21.98
386,6,21.98
386,7,21.98
386,8,21.98
387,1,39.98
387,2,39.98
387,3,39.98
387,4,39.98
387,5,39.98
387,6,39.98
387,7,39.98
387,8,39.98
388,1,35.98
388,2,35.98
388,3,35.98
388,4,35.98
388,5,35.98
388,6,35.98
388,7,35.98
388,8,35.98
389,1,33.98
389,2,33.98
389,3,33.98
389,4,33.98
389,5,33.98
389,6,33.98
389,7,33.98
389,8,33.98
390,1,73.98
390,2,73.98
390,3,73.98
390,4,73.98
390,5,73.98
390,6,73.98
390,7,73.98
390,8,73.98
391,1,16.98
391,2,16.98
391,3,16.98
391,4,16.98
391,5,16.98
391,6,16.98
391,7,16.98
391,8,16.98
393,1,22.42
393,2,22.42
393,3,22.42
393,4,22.42
393,5,22.42
393,6,22.42
393,7,22.42
393,8,22.42
394,1,26.98
394,2,26.98
394,3,26.98
394,4,26.98
394,5,26.98
394,6,26.98
394,7,26.98
394,8,26.98
395,1,59.98
395,2,59.98
395,3,59.98
395,4,59.98
395,5,59.98
395,6,59.98
395,7,59.98
395,8,59.98
396,1,82
396,2,82
396,3,82
396,4,82
396,5,82
396,6,82
396,7,82
396,8,82
397,1,45
397,2,45
397,3,45
397,4,45
397,5,45
397,6,45
397,7,45
397,8,45
398,1,32.50
398,2,32.50
398,3,32.50
398,4,32.50
398,5,32.50
398,6,32.50
398,7,32.50
398,8,32.50
399,1,15.98
399,2,15.98
399,3,15.98
399,4,15.98
399,5,15.98
399,6,15.98
399,7,15.98
399,8,15.98
401,1,9.68
401,2,9.68
401,3,9.68
401,4,9.68
401,5,9.68
401,6,9.68
401,7,9.68
401,8,9.68
402,1,17.98
402,2,17.98
402,3,17.98
402,4,17.98
402,5,17.98
402,6,17.98
402,7,17.98
402,8,17.98
403,1,51.52
403,2,51.52
403,3,51.52
403,4,51.52
403,5,51.52
403,6,51.52
403,7,51.52
403,8,51.52
404,1,41.32
404,2,41.32
404,3,41.32
404,4,41.32
404,5,41.32
404,6,41.32
404,7,41.32
404,8,41.32
405,1,22.42
405,2,22.42
405,3,22.42
405,4,22.42
405,5,22.42
405,6,22.42
405,7,22.42
405,8,22.42
406,1,35.98
406,2,35.98
406,3,35.98
406,4,35.98
406,5,35.98
406,6,35.98
406,7,35.98
406,8,35.98
407,15,29.98
407,16,29.98
407,17,29.98
407,18,29.98
407,19,29.98
408,15,24.98
408,16,24.98
408,17,24.98
408,18,24.98
408,19,24.98
409,1,49.98
409,2,49.98
409,3,49.98
409,4,49.98
409,5,49.98
409,6,49.98
409,7,49.98
409,8,49.98
410,1,37.98
410,2,37.98
410,3,37.98
410,4,37.98
410,5,37.98
410,6,37.98
410,7,37.98
410,8,37.98
410,10,37.98
410,10,37.98
411,15,65.26
411,16,65.26
411,17,65.26
411,18,65.26
411,19,65.26
412,1,29.98
412,2,29.98
412,3,29.98
412,4,29.98
412,5,29.98
412,6,29.98
412,7,29.98
412,8,29.98
413,1,22.42
413,2,22.42
413,3,22.42
413,4,22.42
413,5,22.42
413,6,22.42
413,7,22.42
413,8,22.42
413,9,22.42
414,1,73.98
414,2,73.98
414,3,73.98
414,4,73.98
414,5,73.98
414,6,73.98
414,7,73.98
414,8,73.98
415,1,28.98
415,2,28.98
415,3,28.98
415,4,28.98
415,5,28.98
415,6,28.98
415,7,28.98
415,8,28.98
416,15,43.95
416,16,43.95
416,17,43.95
416,18,43.95
416,19,43.95
418,2,33
418,3,33
418,4,33
418,5,33
418,6,33
419,2,7.34
419,3,7.34
419,4,7.34
419,5,7.34
419,6,7.34
419,7,7.34
419,8,7.34
419,9,7.34
419,10,7.34
420,2,6.08
420,3,6.08
420,4,6.08
420,5,6.08
420,6,6.08
420,7,6.08
420,8,6.08
420,9,6.08
420,10,6.08
421,2,6.82
421,3,6.82
421,4,6.82
421,5,6.82
421,6,6.82
421,7,6.82
421,8,6.82
421,9,6.82
421,10,6.82
422,15,24.42
422,16,24.42
422,17,24.42
422,18,24.42
422,19,24.42
423,15,28.98
423,16,28.98
423,17,28.98
423,18,28.98
423,19,28.98
424,15,26.98
424,16,26.98
424,17,26.98
424,18,26.98
424,19,26.98
425,15,29.98
425,16,29.98
425,17,29.98
425,18,29.98
425,19,29.98
426,15,22.98
426,16,22.98
426,17,22.98
426,18,22.98
426,19,22.98
427,15,65.26
427,16,65.26
427,17,65.26
427,18,65.26
427,19,65.26
428,15,15.98
428,16,15.98
428,17,15.98
428,18,15.98
428,19,15.98
429,15,23.98
429,16,23.98
429,17,23.98
429,18,23.98
429,19,23.98
430,15,30.98
430,16,30.98
430,17,30.98
430,18,30.98
430,19,30.98
431,15,33.98
431,16,33.98
431,17,33.98
431,18,33.98
431,19,33.98
432,15,34.98
432,16,34.98
432,17,34.98
432,18,34.98
432,19,34.98
433,1,12.98
433,2,12.98
433,3,12.98
433,4,12.98
433,5,12.98
434,15,26.98
434,16,26.98
434,17,26.98
434,18,26.98
434,19,26.98
435,15,30.54
435,16,30.54
435,17,30.54
435,18,30.54
435,19,30.54
436,15,21.98
436,16,21.98
436,17,21.98
436,18,21.98
436,19,21.98
437,15,22.38
437,16,22.38
437,17,22.38
437,18,22.38
437,19,22.38
438,15,9.98
438,16,9.98
438,17,9.98
438,18,9.98
438,19,9.98
439,15,19.98
439,16,19.98
439,17,19.98
439,18,19.98
439,19,19.98
440,15,25.98
440,16,25.98
440,17,25.98
440,18,25.98
440,19,25.98
441,15,17.18
441,16,17.18
441,17,17.18
441,18,17.18
441,19,17.18
442,1,35.98
442,2,35.98
442,3,35.98
442,4,35.98
442,5,35.98
442,6,35.98
442,7,35.98
442,8,35.98
443,15,39.98
443,16,39.98
443,17,39.98
443,18,39.98
443,19,39.98
444,15,23.98
444,16,23.98
444,17,23.98
444,18,23.98
444,19,23.98